customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm,rfm_score,r_segment,f_segment,m_segment,rfm_segment,rfm_group
17949,23,52,52750.84,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13769,24,16,2771.87,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17346,25,16,2611.58,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15622,25,16,3224.53,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16904,26,16,3754.27,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13985,26,16,7024.53,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15640,26,17,12433.34,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17920,26,17,4204.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16133,25,46,14305.66,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12989,25,19,6854.51,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17404,26,18,30300.82,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16523,23,28,9295.67,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16746,26,19,6694.31,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15189,23,53,15802.14,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17811,26,51,7677.71,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15984,24,11,2816.97,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15572,26,7,2552.86,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16592,26,19,4073.28,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17049,24,11,5594.78,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14096,26,34,57120.91,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14194,26,32,11216.75,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13685,24,7,3119.44,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15856,26,31,16173.67,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16684,26,31,65892.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12683,26,20,8221.09,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15358,26,29,8234.80,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16393,24,20,2941.05,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12841,26,26,3876.40,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14060,26,20,6135.38,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18198,26,21,5083.06,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17706,26,22,10097.37,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15290,26,21,7803.77,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15796,23,10,2666.61,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15187,23,18,4670.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13013,23,15,4786.99,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13078,23,43,12432.28,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14546,26,9,2487.02,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17017,24,27,8574.11,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17238,24,17,3744.65,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14056,23,29,8124.40,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17924,23,13,2894.33,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17243,23,30,8628.55,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17841,23,169,40340.78,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18109,23,31,7925.32,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13536,23,7,3448.29,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12583,24,18,7187.34,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13468,23,41,5656.75,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17677,23,43,16219.22,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13269,23,17,5315.92,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17757,23,31,5585.49,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17001,22,11,3989.57,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15804,22,19,3848.55,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17644,23,17,2768.98,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16210,23,18,21086.30,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14911,23,248,132572.62,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
